experiment_id,execution_mode,explanation_source,prompt_id,timestamp_utc,numerical_faithfulness,directional_faithfulness,attribution_faithfulness,unsupported_claim_rate,total_claims_count,numeric_claim_count,directional_claim_count,attribution_claim_count,unsupported_claim_count,undeterminable_claim_count,numerical_mae
adult__logistic_regression__correlation_remover__seed123__ceac3ef9,PILOT_VALIDATION_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-17T09:52:29.623252+00:00,0.3333,1.0,1.0,0.0,27,27,0,0,0,18,0.0
adult__logistic_regression__correlation_remover__seed123__ceac3ef9,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T09:52:29.710409+00:00,0.8421,1.0,1.0,0.0,56,38,18,0,0,6,0.0
adult__logistic_regression__correlation_remover__seed42__ab326813,PILOT_VALIDATION_RUN,gemini_gemini-2.5-flash,combined_audit_v1,2026-09-17T07:58:10.278667+00:00,0.7308,0.75,1.0,0.0333,30,26,4,0,1,7,0.00369
adult__logistic_regression__correlation_remover__seed42__ab326813,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T07:58:10.305438+00:00,0.8421,1.0,1.0,0.0,56,38,18,0,0,6,0.0
adult__logistic_regression__correlation_remover__seed456__0696e632,PILOT_VALIDATION_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-17T09:53:04.095298+00:00,0.6176,1.0,1.0,0.1667,42,34,8,0,7,6,0.01807
adult__logistic_regression__correlation_remover__seed456__0696e632,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T09:53:04.215264+00:00,0.8421,1.0,1.0,0.0,56,38,18,0,0,6,0.0
adult__logistic_regression__threshold_optimizer__seed123__950c0545,PILOT_VALIDATION_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-17T10:02:30.471813+00:00,0.5769,0.75,1.0,0.1333,30,26,4,0,4,8,0.01795
adult__logistic_regression__threshold_optimizer__seed123__950c0545,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T10:02:30.566377+00:00,0.8286,1.0,1.0,0.0,51,35,16,0,0,6,0.0
adult__logistic_regression__threshold_optimizer__seed42__31aee77c,PILOT_VALIDATION_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-17T10:02:10.805154+00:00,0.4737,0.5,1.0,0.0952,21,19,2,0,2,9,0.02127
adult__logistic_regression__threshold_optimizer__seed42__31aee77c,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T10:02:10.879220+00:00,0.8286,1.0,1.0,0.0,51,35,16,0,0,6,0.0
