experiment_id,execution_mode,explanation_source,prompt_id,timestamp_utc,numerical_faithfulness,directional_faithfulness,attribution_faithfulness,unsupported_claim_rate,total_claims_count,numeric_claim_count,directional_claim_count,attribution_claim_count,unsupported_claim_count,undeterminable_claim_count,numerical_mae
adult__logistic_regression__correlation_remover__seed123__6581c502,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-18T07:20:14.215349+00:00,0.8158,0.9286,,0.1509,53,38,15,0,8,1,0.02621
adult__logistic_regression__correlation_remover__seed123__6581c502,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-18T07:20:14.421298+00:00,1.0,1.0,,0.0,60,38,22,0,0,0,0.0
adult__logistic_regression__correlation_remover__seed42__3e772ca6,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-19T08:29:33.729132+00:00,1.0,,,0.0,29,29,0,0,0,16,0.0
adult__logistic_regression__correlation_remover__seed42__3e772ca6,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-19T08:29:33.763357+00:00,1.0,1.0,,0.0,60,38,22,0,0,0,0.0
adult__logistic_regression__correlation_remover__seed456__462a71d8,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-18T07:20:34.856598+00:00,1.0,,,0.0,10,10,0,0,0,3,1e-05
adult__logistic_regression__correlation_remover__seed456__462a71d8,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-18T07:20:34.963852+00:00,1.0,1.0,,0.0,60,38,22,0,0,0,0.0
adult__logistic_regression__threshold_optimizer__seed123__021be82b,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-19T08:30:33.155266+00:00,0.7391,1.0,,0.2143,28,26,2,0,6,3,0.02489
adult__logistic_regression__threshold_optimizer__seed123__021be82b,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-19T08:30:33.194992+00:00,1.0,1.0,,0.0,55,35,20,0,0,0,0.0
adult__logistic_regression__threshold_optimizer__seed42__10ea6787,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-18T07:20:54.280550+00:00,0.9167,1.0,,0.0312,32,27,5,0,1,17,0.00905
adult__logistic_regression__threshold_optimizer__seed42__10ea6787,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-18T07:20:54.398270+00:00,1.0,1.0,,0.0,55,35,20,0,0,0,0.0
