age,education,years_experience,gender,race,skills_score,interview_score,hired
28,Bachelor,3,Male,White,72,68,1
34,Master,8,Female,Black,85,79,1
45,PhD,15,Male,Asian,91,88,1
23,Bachelor,1,Female,White,61,55,0
29,Master,5,Male,Hispanic,78,72,1
38,Bachelor,10,Female,Black,69,61,0
52,PhD,20,Male,White,94,91,1
27,Bachelor,2,Female,Asian,74,70,1
31,Master,6,Male,White,82,80,1
41,Bachelor,12,Female,Hispanic,71,64,0
26,Bachelor,2,Male,Black,65,60,0
35,Master,9,Female,White,88,84,1
48,PhD,18,Male,Asian,92,90,1
22,Bachelor,0,Female,Black,58,52,0
33,Master,7,Male,Hispanic,80,75,1
39,Bachelor,11,Female,White,73,67,1
44,PhD,16,Male,White,93,89,1
25,Bachelor,2,Female,Asian,76,71,1
30,Master,5,Male,Black,79,74,0
36,Bachelor,9,Female,Hispanic,68,63,0
24,Bachelor,1,Male,White,63,58,0
37,Master,10,Female,White,87,83,1
50,PhD,19,Male,Asian,95,92,1
28,Bachelor,3,Female,Black,66,61,0
32,Master,7,Male,White,83,78,1
42,Bachelor,13,Female,Asian,70,65,1
47,PhD,17,Male,Hispanic,90,87,1
23,Bachelor,1,Female,White,59,53,0
35,Master,8,Male,Black,81,76,0
40,Bachelor,11,Female,Asian,72,68,1
29,Bachelor,4,Male,White,74,69,1
33,Master,7,Female,Hispanic,86,82,1
46,PhD,15,Male,White,92,89,1
26,Bachelor,2,Female,Black,63,57,0
31,Master,6,Male,Asian,80,76,1
38,Bachelor,10,Female,White,70,65,1
43,PhD,14,Male,Hispanic,89,86,1
24,Bachelor,1,Female,Asian,75,70,0
36,Master,9,Male,White,84,79,1
41,Bachelor,12,Female,Black,67,62,0
27,Bachelor,3,Male,Hispanic,71,66,0
34,Master,8,Female,Asian,88,85,1
49,PhD,18,Male,White,94,91,1
22,Bachelor,0,Female,Hispanic,56,50,0
30,Master,5,Male,Black,78,73,0
37,Bachelor,10,Female,White,72,67,1
44,PhD,16,Male,Asian,93,90,1
25,Bachelor,2,Female,Black,64,58,0
32,Master,7,Male,White,82,77,1
39,Bachelor,11,Female,Hispanic,69,63,0
